FinCoNo,FinPrdtCd,KorCoNm,FinPrdtNm,BeforeTaxInterestRate,AfterTaxInterestRate,AfterTaxInterest,BestInterestRate,JoinMember,InterestCalcMethod,ContactDepartment,HompUrl,CalTel,JoinWay,SpclCnd,MtrtInt,EtcNote,직업,학습,건강,관계,주거,사회참여,여가,재무,발급제한
10533,38,센트럴저축은행,자유 적립예금,자유적립식,0.018,0.0152,-,제한없음,제한없음,복리,http://www.centralbank.co.kr,622244010,영업점,없음,-보통예금기본이율,없음,0,0,0,0,0,0,0,100,0
14807,10141114300011,수협은행,Sh해양플라스틱Zero!적금(자유적립식),자유적립식,0.018,0.0152,-,실명의개인,제한없음,단리,http://www.suhyup-bank.com,15881515,"영업점,인터넷,스마트폰",*최대우대금리:0.5%1.해양플라스틱감축서약:0.1%(신규시)2.봉사활동또는상품홍보:0.2%(만기시)3.입출금통장최초신규:0.2%(만기시)4.자동이체출금실적:0.2%(만기시)-수협신용카드/당행펀드/수협체크카드※단위:연%p,*만기후1년이내-만기당시상호부금계약기간별기본금리1/2*만기후1년초과-만기당시보통예금기본금리,-1인1계좌-월가입한도:20만원,0,0,0,0,0,0,0,100,0
11625,230-0118-07,신한은행,신한스마트적금,자유적립식,0.018,0.0152,-,제한없음,제한없음,단리,http://www.shinhan.com,15778000,"스마트폰,기타",해당사항없음,"-1개월이하:(일반)정기적금기본금리1/2(단,최저금리0.10%)-1개월초과~6개월이하:(일반)정기적금기본금리의1/4(단,최저금리0.10%)-6개월초과0.10%",1.가입한도:월100만원이하2.가입방법:스마트폰3.1인1계좌,0,0,0,0,0,0,0,100,0
13350,1130311001,웰컴저축은행,일반정기적금,정액적립식,0.018,0.0152,"9,898",제한없음,제한없음,단리,http://www.welcomebank.co.kr/,16610001,영업점,-당행입출금통장자동이체우대금리→계약기간(월수)의2/3회이상당행입출금통장통한자동이체시연0.8%p,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용-만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",영업점전용상품,0,0,0,0,0,0,0,100,0
13350,1130315006,웰컴저축은행,WELCOME 체크플러스2 정기적금,정액적립식,0.018,0.0152,"9,898",개인고객,제한없음,단리,http://www.welcomebank.co.kr/,16610001,영업점,-최고우대금리:2.2%-체크카드월평균이용실적(10만원~30만원미만):1.4%-체크카드월평균이용실적(30만원~50만원미만):1.8%-체크카드월평균이용실적(50만원이상):2.2%※단위는연%p※체크카드는당행계좌를결제계좌로등록한SBHI체크카드및웰뱅코나카드를의미함,"-만기후1개월이하:이예금의가입당시약정금리나만기시점의동일상품,동일계약기간의신규약정금리중낮은금리를적용하며,만기시점의동일상품,동일계약기간이없을경우가입당시의약정금리를적용-만기후1개월초과:연0.1%",-1인당가입한도:월50만원,0,0,0,0,0,0,0,100,0
14674,01012000200000000003,주식회사 케이뱅크,코드K 자유적금,자유적립식,0.018,0.0152,-,만17세이상실명의개인및개인사업자,제한없음,단리,https://ib.kbanknow.com/ib20/mnu/FPMDPT010000,15221000,"인터넷,스마트폰",우대조건없음,만기후-1개월이내:만기시점기본금리X50%-1개월초과~6개월이내:만기시점기본금리X30%-6개월초과:연0.20%,"가입금액:1만원이상30만원이하가입기간:6개월,1년,2년,3년(1인최대3계좌)",30,0,0,0,0,0,0,70,0
10576,310007,진주저축은행,정기적금,정액적립식,0.018,0.0152,"9,898",제한없음,제한없음,단리,http://www.jinjubank.net,18770030,"영업점,인터넷,스마트폰",없음,-만기일~1개월까지:최초약정이율과만기후동일상품신규가입이율중낮은이율-1개월초과:연0.1%,"-만65세이상비과세종합저축5,000만원가능",0,0,0,0,0,0,0,100,0
10485,401003,대명상호저축은행,정기적금,자유적립식,0.017,0.0144,-,누구나가입가능,제한없음,단리,http://www.daemyungbank.co.kr,436405000,영업점,없음,-만기후1개월이하:약정금리와동일한금리적용-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
10485,401005,대명상호저축은행,E-플러스 정기적금,자유적립식,0.017,0.0144,-,누구나가입가능,제한없음,단리,http://www.daemyungbank.co.kr,436405000,"인터넷,스마트폰",없음,-만기후1개월이하:약정금리와동일한금리적용-만기후1개월초과:보통예금이율,없음,0,0,0,0,0,0,0,100,0
12120,310001,삼호저축은행,정기적금,자유적립식,0.017,0.0144,-,제한없음,제한없음,단리,http://samhosb.co.kr,15880568,영업점,없음,-만기후1개월이내해지시약정금리적용-만기후1개월초과이후해지시보통예금이율적용(2020.7월27일현재보통예금이율0.5%),없음,0,0,0,0,0,0,0,100,0
